orchestrator,runs,deploy_mean_s,deploy_median_s,deploy_std_s,deploy_min_s,deploy_max_s,build_mean_s,health_mean_s,success_count,failure_count,failure_rate_pct,config_files,config_lines,cli_tools
Docker Compose,5,98.54,103.67,9.85,85.32,108.1,70.92,13.53,5,0,0.0,3,171,2
Kubernetes,5,124.13,126.73,18.98,93.81,146.28,74.9,0.1,5,0,0.0,2,321,2
